document_id,nombre_pdf,nombre_doc,fecha,cantidad_codigos,codigos
9,1748100868_KARDOO 032020000894809-1.pdf,KARDOO AGOSTO 2020A,2020-08-04,56,"K-353A, K-353H, K-609, K-610, K-618, K-619, K-620, K-621, K-623, K-628, K-629, K-633, K-635, K-636, K-639, K-650, K-652, K-653, K-655, K-658, K-661, K-668, K-669, K-675, K-678, K-685, K-686, K-688, K-689, K-690, K-692, K-730, K-866A, S-638E, S-640, S-640/S-647, S-640BE, S-640C/S-647M, S-640T, S-640T/S-647T, S-640W, S-644WE, S-645, S-645BE, S-647, S-647E, S-647ME, S-647T, S-647W, S-651, S-651CD, S-651T, S-660CDE, S-660ME, S-660TE, S-662DE"
10,1748101009_SEPTIEMBRE 24 032020001084373-0.pdf,SEPTIEMBRE 2020A,2020-09-24,840,"1155B, 1179, 1220, 1252, 1338, 1370, 1377, 1388, 1392, 1400, 1448, 1514, 1514-1, 1514-10, 1514-2, 1514-3, 1514-4, 1514-5, 1514-6, 1514-7, 1514-8, 1514-9, 1514G, 1514G-1, 1514G-10, 1514G-11, 1514G-12, 1514G-13, 1514G-14, 1514G-15, 1514G-2, 1514G-3, 1514G-4, 1514G-5, 1514G-6, 1514G-7, 1514G-8, 1514G-9, 1514LG, 1514LG-1, 1514LG-10, 1514LG-11, 1514LG-12, 1514LG-13, 1514LG-14, 1514LG-15, 1514LG-2, 1514LG-3, 1514LG-4, 1514LG-5, 1514LG-6, 1514LG-7, 1514LG-8, 1514LG-9, 1523B, 1523B-1, 1523B-10, 1523B-2, 1523B-3, 1523B-4, 1523B-5, 1523B-6, 1523B-7, 1523B-8, 1523B-9, 1523BC, 1523BC-1, 1523BC-2, 1523BC-3, 1523BC-4, 1523BC-5, 1523BC-6, 1523BC-7, 1523BG, 1523BG-1, 1523BG-2, 1523BG-3, 1523BG-4, 1523BG-5, 1523BG-6, 1523BG-7, 1523L, 1523L-1, 1523L-10, 1523L-2, 1523L-3, 1523L-4, 1523L-5, 1523L-6, 1523L-7, 1523L-8, 1523L-9, 1523LC, 1523LC-1, 1523LC-10, 1523LC-2, 1523LC-3, 1523LC-4, 1523LC-5, 1523LC-6, 1523LC-7, 1523LC-8, 1523LC-9, 1534, 1554, 1604, 1611, 1612, 1614B, 1614B-1, 1614B-2, 1614B-3, 1614B-4, 1614B-5, 1614B-6, 1614B-7, 1614B-8, 1614C, 1614C-1, 1614C-2, 1614C-3, 1614C-4, 1614C-5, 1614C-6, 1614C-7, 1614C-8, 1639, 1705G, 1705G-1, 1705G-2, 1705G-3, 1705G-4, 1705G-5, 1705G-6, 1705G-7, 1705G-8, 1711, 1711-1, 1711-10, 1711-2, 1711-3, 1711-4, 1711-5, 1711-6, 1711-7, 1711-8, 1711-9, 1711G, 1711G-1, 1711G-2, 1711G-3, 1711G-4, 1711G-5, 1711G-6, 1711G-7, 1711G-8, 1801G, 1801G-1, 1801G-2, 1801G-3, 1801G-4, 1801G-5, 1801G-6, 1802G, 1802G-1, 1802G-2, 1802G-3, 1802G-4, 1802G-5, 1808, 1808-1, 1808-10, 1808-2, 1808-3, 1808-4, 1808-5, 1808-6, 1808-7, 1808-8, 1808-9, 1808G, 1808G-1, 1808G-10, 1808G-2, 1808G-3, 1808G-4, 1808G-5, 1808G-6, 1808G-7, 1808G-8, 1808G-9, 1812AG, 1812AG-1, 1812AG-2, 1812AG-3, 1812AG-4, 1812AG-5, 1812AG-6, 1812BG, 1812BG-1, 1812BG-2, 1812BG-3, 1812BG-4, 1812BG-5, 1812BG-6, 1812G, 1812G-1, 1812G-2, 1812G-3, 1812G-4, 1812G-5, 1812G-6, 1815G, 1815G-1, 1815G-2, 1815G-3, 1815G-4, 1815G-5, 1815G-6, 1815G-7, 1817G, 1817G-1, 1817G-2, 1817G-3, 1817G-4, 1817G-5, 1817G-6, 1907, 1907-1, 1907-10, 1907-2, 1907-3, 1907-4, 1907-5, 1907-6, 1907-7, 1907-8, 1907-9, 7-595, 7-596, 7-598, 7-599, 7-600, 7-601, 7-602, 7-603, 7-604, 7-605, 7-606, 7-607, 7-608, 7201, 9194, 926, A159W, DF-658, FRL-102, FRL-102-1, FRL-102-2, FRL-621, H3450G, H3450G-A, H3450G-B, H3450G-C, H3450G-D, H3450G-E, H3450G-F, H3450G-G, H3450G-H, H3450G-I, H3450G-J, H3451G, H3451G-A, H3451G-B, H3451G-C, H3451G-D, H3451G-E, H3451G-F, H3451G-G, H3451G-H, H3451G-I, H3451G-J, H3521G, H3521G-A, H3521G-B, H3521G-C, H3521G-D, H3521G-E, H3521G-F, H3521G-G, H3521G-H, H3521G-I, H3521G-J, H3522G, H3522G-A, H3522G-B, H3522G-C, H3522G-D, H3522G-E, H3522G-F, H3522G-G, H3522G-H, H3522G-I, H3522G-J, H3587G, H3587G-A, H3587G-B, H3587G-C, H3587G-D, H3587G-E, H3587G-F, H3587G-G, H3587G-H, H3587G-I, H3587G-J, H3588G, H3588G-A, H3588G-B, H3588G-C, H3588G-D, H3588G-E, H3588G-F, H3588G-G, H3588G-H, H3588G-I, H3588G-J, H3589G, H3589G-A, H3589G-B, H3589G-C, H3589G-D, H3589G-E, H3589G-F, H3589G-G, H3589G-H, H3589G-I, H3589G-J, H3624G, H3624G-A, H3624G-B, H3624G-C, H3624G-D, H3624G-E, H3624G-F, H3624G-G, H3624G-H, H3624G-I, H3624G-J, H3627G, H3627G-A, H3627G-B, H3627G-C, H3627G-D, H3627G-E, H3627G-F, H3627G-G, H3627G-H, H3627G-I, H3627G-J, H3628G, H3628G-A, H3628G-B, H3628G-C, H3628G-D, H3628G-E, H3628G-F, H3628G-G, H3628G-H, H3628G-I, H3628G-J, H3633G, H3633G-A, H3633G-B, H3633G-C, H3633G-D, H3633G-E, H3633G-F, H3633G-G, H3633G-H, H3633G-I, H3633G-J, H3635G, H3635G-A, H3635G-B, H3635G-C, H3635G-D, H3635G-E, H3635G-F, H3635G-G, H3635G-H, H3635G-I, H3635G-J, H3636G, H3636G-A, H3636G-B, H3636G-C, H3636G-D, H3636G-E, H3636G-F, H3636G-G, H3636G-H, H3636G-I, H3636G-J, H3642G, H3642G-A, H3642G-B, H3642G-C, H3642G-D, H3642G-E, H3642G-F, H3642G-G, H3642G-H, H3642G-I, H3642G-J, H3658G, H3658G-A, H3658G-B, H3658G-C, H3658G-D, H3658G-E, H3658G-F, H3658G-G, H3658G-H, H3658G-I, H3658G-J, H3664G, H3664G-A, H3664G-B, H3664G-C, H3664G-D, H3664G-E, H3664G-F, H3664G-G, H3664G-H, H3664G-I, H3664G-J, H3667G, H3667G-A, H3667G-B, H3667G-C, H3667G-D, H3667G-E, H3667G-F, H3667G-G, H3667G-H, H3667G-I, H3667G-J, H3689G, H3689G-A, H3689G-B, H3689G-C, H3689G-D, H3689G-E, H3689G-F, H3689G-G, H3689G-H, H3689G-I, H3689G-J, H3702G, H3702G-A, H3702G-B, H3702G-C, H3702G-D, H3702G-E, H3702G-F, H3702G-G, H3702G-H, H3702G-I, H3702G-J, H3705G, H3705G-A, H3705G-B, H3705G-C, H3705G-D, H3705G-E, H3705G-F, H3705G-G, H3705G-H, H3705G-I, H3705G-J, H3706G, H3706G-A, H3706G-B, H3706G-C, H3706G-D, H3706G-E, H3706G-F, H3706G-G, H3706G-H, H3706G-I, H3706G-J, H3710G, H3710G-A, H3710G-B, H3710G-C, H3710G-D, H3710G-E, H3710G-F, H3710G-G, H3710G-H, H3710G-I, H3710G-J, H3721G, H3721G-A, H3721G-B, H3721G-C, H3721G-D, H3721G-E, H3721G-F, H3721G-G, H3721G-H, H3721G-I, H3721G-J, H3723G, H3723G-A, H3723G-B, H3723G-C, H3723G-D, H3723G-E, H3723G-F, H3723G-G, H3723G-H, H3723G-I, H3723G-J, KC117, M023, M:8244, M:8244-1, M:8244-2, M:8244-3, M:8244-4, M:8244-5, M:8278, M:8278-1, M:8278-2, M:8278-3, M:8278-4, M:8278-5, M:8281, M:8281-1, M:8281-2, M:8281-3, M:8281-4, M:8281-5, M:8285, M:8285-1, M:8285-2, M:8285-3, M:8285-4, M:8285-5, M:8287, M:8287-1, M:8287-2, M:8287-3, M:8287-4, M:8287-5, M:8289, M:8289-1, M:8289-2, M:8289-3, M:8289-4, M:8289-5, M:8290, M:8290-1, M:8290-2, M:8290-3, M:8290-4, M:8290-5, M:8291, M:8291-1, M:8291-2, M:8291-3, M:8291-4, M:8291-5, M:8308, M:8308-1, M:8308-2, M:8308-3, M:8308-4, M:8308-5, M:8310, M:8310-1, M:8310-2, M:8310-3, M:8310-4, M:8310-5, M:8312, M:8312-1, M:8312-2, M:8312-3, M:8312-4, M:8312-5, M:8314, M:8314-1, M:8314-2, M:8314-3, M:8314-4, M:8314-5, M:8324, M:8324-1, M:8324-2, M:8324-3, M:8324-4, M:8324-5, M:8325, M:8325-1, M:8325-2, M:8325-3, M:8325-4, M:8325-5, M:8329, M:8329-1, M:8329-2, M:8329-3, M:8329-4, M:8329-5, M:8346, M:8346-1, M:8346-2, M:8346-3, M:8346-4, M:8346-5, M:8360, M:8360-1, M:8360-2, M:8360-3, M:8360-4, M:8360-5, M:8363, M:8363-1, M:8363-2, M:8363-3, M:8363-4, M:8363-5, MF0002G, MF0002G-1, MF0002G-2, MF0002G-3, MF0002G-4, MF0002G-5, MF0017G, MF0017G-1, MF0017G-2, MF0017G-3, MF0017G-4, MF0017G-5, MF0025G, MF0025G-1, MF0025G-2, MF0025G-3, MF0025G-4, MF0025G-5, MF0079G, MF0079G-1, MF0079G-2, MF0079G-3, MF0079G-4, MF0079G-5, MF0081G, MF0081G-1, MF0081G-2, MF0081G-3, MF0081G-4, MF0081G-5, MF0087G, MF0087G-1, MF0087G-2, MF0087G-3, MF0087G-4, MF0087G-5, MF0089G, MF0089G-1, MF0089G-2, MF0089G-3, MF0089G-4, MF0089G-5, MF0110G, MF0110G-1, MF0110G-2, MF0110G-3, MF0110G-4, MF0110G-5, MF0116G, MF0116G-1, MF0116G-2, MF0116G-3, MF0116G-4, MF0116G-5, MF0130G, MF0130G-1, MF0130G-2, MF0130G-3, MF0130G-4, MF0130G-5, MF0169G, MF0169G-1, MF0169G-2, MF0169G-3, MF0169G-4, MF0169G-5, MF0170G, MF0170G-1, MF0170G-2, MF0170G-3, MF0170G-4, MF0170G-5, MF0175G, MF0175G-1, MF0175G-2, MF0175G-3, MF0175G-4, MF0175G-5, MF0187G, MF0187G-1, MF0187G-2, MF0187G-3, MF0187G-4, MF0187G-5, MF0188G, MF0188G-1, MF0188G-2, MF0188G-3, MF0188G-4, MF0188G-5, MF0190G, MF0190G-1, MF0190G-2, MF0190G-3, MF0190G-4, MF0190G-5, MF0198G, MF0198G-1, MF0198G-2, MF0198G-3, MF0198G-4, MF0198G-5, MF0199G, MF0199G-1, MF0199G-2, MF0199G-3, MF0199G-4, MF0199G-5, MF0229G, MF0229G-1, MF0229G-2, MF0229G-3, MF0229G-4, MF0229G-5, MF0230G, MF0230G-1, MF0230G-2, MF0230G-3, MF0230G-4, MF0230G-5, MF0237G, MF0237G-1, MF0237G-2, MF0237G-3, MF0237G-4, MF0237G-5, MF0244G, MF0244G-1, MF0244G-2, MF0244G-3, MF0244G-4, MF0244G-5, MF0249G, MF0249G-1, MF0249G-2, MF0249G-3, MF0249G-4, MF0249G-5, MF0273G, MF0273G-1, MF0273G-2, MF0273G-3, MF0273G-4, MF0273G-5, MF0278G, MF0278G-1, MF0278G-2, MF0278G-3, MF0278G-4, MF0278G-5, MF0285G, MF0285G-1, MF0285G-2, MF0285G-3, MF0285G-4, MF0285G-5, MF0287G, MF0287G-1, MF0287G-2, MF0287G-3, MF0287G-4, MF0287G-5, MF0288G, MF0288G-1, MF0288G-2, MF0288G-3, MF0288G-4, MF0288G-5, MF0339G, MF0339G-1, MF0339G-2, MF0339G-3, MF0339G-4, MF0339G-5, MF0349G, MF0349G-1, MF0349G-2, MF0349G-3, MF0349G-4, MF0349G-5, MG073, MG075, MG076, MG082, MG083, MG084, MG090, MG091, MG093, NO:WR-8867M, S-640, S-640E, S-640T, S-640W, S-640WE, S-645BE, S-647E, S-647T, S-647TE, S-660CDE, S-660E, S-660ME, S-664, S-664B, S-668, S-668C"
11,1748101087_RELOJERIA OCTUBRE  Y NOV 2020 032020001106857-1.pdf,RELOJERIA OCT Y NOV 2020A,2020-09-30,256,"1514, 1514-1, 1514-10, 1514-2, 1514-3, 1514-4, 1514-5, 1514-6, 1514-7, 1514-8, 1514-9, 1514G, 1514G-1, 1514G-10, 1514G-2, 1514G-3, 1514G-4, 1514G-5, 1514G-6, 1514G-7, 1514G-8, 1514G-9, 1514LG, 1514LG-1, 1514LG-10, 1514LG-2, 1514LG-3, 1514LG-4, 1514LG-5, 1514LG-6, 1514LG-7, 1514LG-8, 1514LG-9, 1523, 1523-1, 1523-10, 1523-2, 1523-3, 1523-4, 1523-5, 1523-6, 1523-7, 1523-8, 1523-9, 1523C, 1523C-1, 1523C-10, 1523C-2, 1523C-3, 1523C-4, 1523C-5, 1523C-6, 1523C-7, 1523C-8, 1523C-9, 1523DG, 1523DG-1, 1523DG-10, 1523DG-2, 1523DG-3, 1523DG-4, 1523DG-5, 1523DG-6, 1523DG-7, 1523DG-8, 1523DG-9, 1523L, 1523L-1, 1523L-10, 1523L-2, 1523L-3, 1523L-4, 1523L-5, 1523L-6, 1523L-7, 1523L-8, 1523L-9, 1523LC, 1523LC-1, 1523LC-10, 1523LC-2, 1523LC-3, 1523LC-4, 1523LC-5, 1523LC-6, 1523LC-7, 1523LC-8, 1523LC-9, 1524, 1524-1, 1524-10, 1524-2, 1524-3, 1524-4, 1524-5, 1524-6, 1524-7, 1524-8, 1524-9, 1611, 1611-1, 1611-10, 1611-2, 1611-3, 1611-4, 1611-5, 1611-6, 1611-7, 1611-8, 1611-9, 1612, 1612-1, 1612-10, 1612-2, 1612-3, 1612-4, 1612-5, 1612-6, 1612-7, 1612-8, 1612-9, 1614B, 1614B-1, 1614B-10, 1614B-2, 1614B-3, 1614B-4, 1614B-5, 1614B-6, 1614B-7, 1614B-8, 1614B-9, 1639, 1639-1, 1639-10, 1639-2, 1639-3, 1639-4, 1639-5, 1639-6, 1639-7, 1639-8, 1639-9, 1708, 1708-1, 1708-10, 1708-2, 1708-3, 1708-4, 1708-5, 1708-6, 1708-7, 1708-8, 1708-9, 1716, 1716-1, 1716-10, 1716-2, 1716-3, 1716-4, 1716-5, 1716-6, 1716-7, 1716-8, 1716-9, 1716B, 1716B-1, 1716B-10, 1716B-11, 1716B-12, 1716B-13, 1716B-14, 1716B-15, 1716B-2, 1716B-3, 1716B-4, 1716B-5, 1716B-6, 1716B-7, 1716B-8, 1716B-9, 1808, 1808-1, 1808-10, 1808-2, 1808-3, 1808-4, 1808-5, 1808-6, 1808-7, 1808-8, 1808-9, 1808G, 1808G-1, 1808G-10, 1808G-2, 1808G-3, 1808G-4, 1808G-5, 1808G-6, 1808G-7, 1808G-8, 1808G-9, 1908G, 1908G-1, 1908G-10, 1908G-2, 1908G-3, 1908G-4, 1908G-5, 1908G-6, 1908G-7, 1908G-8, 1908G-9, 201, A168D, M023, M5, S-640T, S-640TE, S-644W, S-645, S-645B, S-645E, S-647B, S-647BE, S-647M, S-660, S-660M, S-660T, S-901, S-901E, XJ-659, XJ-660, XJ-661, XJ-707, XJ-708, XJ-730, XJ-786, XJ-802, XJ-808, XJ-812, XJ-825, XJ-832, XJ-839, XJ-849, XJ-850, XJ-852, XJ-869, XJ-875D, XJ-875DM, XJ-876D, XJ-876DM, XJ-878, XJ-878M, XJ-879M"
